sqft_area,bedrooms,bathrooms,age_of_property,location,furnishing_status,has_parking,has_pool,has_gym,price
1360,1,3,39,Rural,Unfurnished,1,0,1,6300654.3
4272,5,3,22,Suburbs,Fully-Furnished,1,0,0,27439607.73
3592,3,4,30,Suburbs,Unfurnished,1,0,0,18667418.12
966,2,1,46,Suburbs,Fully-Furnished,1,0,1,5696349.91
4926,5,4,28,Suburbs,Fully-Furnished,1,1,0,31262488.57
3944,4,4,46,Business District,Fully-Furnished,1,0,1,37722005.7
3671,5,2,29,Downtown,Fully-Furnished,1,0,1,38260367.16
3419,3,4,25,Business District,Semi-Furnished,1,0,1,30362477.18
630,3,1,19,Uptown,Fully-Furnished,1,1,0,8231878.55
2185,3,3,37,Business District,Unfurnished,0,0,0,17332735.82
1269,4,1,18,Business District,Unfurnished,1,1,1,15482992.67
2891,2,3,26,Uptown,Unfurnished,1,1,1,22080882.33
2933,1,2,24,Business District,Unfurnished,1,0,1,24304944.99
1684,1,3,39,Downtown,Semi-Furnished,1,0,0,14338949.09
3885,3,2,37,Rural,Fully-Furnished,1,0,0,15155054.49
4617,5,2,22,Uptown,Fully-Furnished,1,1,0,38956498.08
3404,5,2,28,Suburbs,Unfurnished,1,1,0,20733301.09
974,3,1,14,Downtown,Unfurnished,1,0,0,9664649.66
1582,3,2,2,Rural,Unfurnished,1,0,0,8059441.39
3058,3,4,9,Downtown,Fully-Furnished,1,0,0,32066263.05
2547,4,3,14,Downtown,Semi-Furnished,1,1,0,26989099.66
3247,4,2,15,Suburbs,Semi-Furnished,1,0,0,18625674.68
1475,5,3,16,Rural,Semi-Furnished,1,0,0,7432210.0
2306,5,3,18,Downtown,Semi-Furnished,1,0,0,22941841.99
689,1,3,10,Suburbs,Unfurnished,1,0,0,4413747.88
3234,4,2,47,Uptown,Fully-Furnished,1,0,0,25733031.14
3505,5,4,4,Suburbs,Unfurnished,0,0,0,20315836.46
2399,4,3,4,Business District,Semi-Furnished,1,0,1,23321101.57
1767,4,2,13,Suburbs,Unfurnished,1,0,0,11030477.04
2028,1,2,49,Suburbs,Semi-Furnished,1,1,1,13073295.04
3702,3,2,25,Suburbs,Fully-Furnished,1,0,1,24477450.66
4056,5,4,7,Downtown,Semi-Furnished,1,0,1,39414398.82
4390,4,3,4,Rural,Unfurnished,1,0,0,16589141.1
1146,1,2,6,Suburbs,Fully-Furnished,1,0,0,7536615.1
3388,5,4,15,Suburbs,Semi-Furnished,1,0,1,22040664.38
2935,3,3,13,Business District,Semi-Furnished,0,1,1,27958714.64
1100,1,2,36,Business District,Fully-Furnished,1,0,1,10498397.5
2863,1,2,40,Uptown,Unfurnished,1,0,0,18903753.24
2561,5,2,3,Uptown,Fully-Furnished,1,0,1,23686587.47
741,1,2,35,Business District,Unfurnished,1,0,1,6662374.96
2541,1,1,47,Rural,Semi-Furnished,1,0,1,9076905.61
3324,4,3,16,Uptown,Semi-Furnished,1,1,0,27245029.0
3112,5,3,46,Rural,Fully-Furnished,0,0,0,13247893.76
1863,3,1,35,Business District,Semi-Furnished,1,0,0,14758391.49
1978,3,1,5,Uptown,Fully-Furnished,1,1,0,18620263.08
3056,5,2,15,Suburbs,Semi-Furnished,1,0,1,19848456.97
1275,5,2,28,Business District,Semi-Furnished,1,0,1,13425581.25
4514,4,3,35,Uptown,Unfurnished,1,0,1,32143572.19
534,3,3,37,Rural,Fully-Furnished,1,0,0,3307122.26
3652,5,2,36,Rural,Fully-Furnished,1,0,1,16720811.52
2455,5,1,47,Uptown,Semi-Furnished,1,1,0,19436853.55
2085,5,2,47,Rural,Unfurnished,1,1,1,10466304.58
4443,3,4,9,Uptown,Unfurnished,1,1,1,34429179.39
3573,3,3,40,Uptown,Fully-Furnished,0,0,0,27136378.07
1521,3,3,35,Rural,Fully-Furnished,0,1,0,7684393.62
3961,5,4,28,Downtown,Semi-Furnished,0,0,0,36142531.38
3113,4,3,13,Suburbs,Fully-Furnished,0,0,0,19777161.02
4343,4,4,3,Business District,Semi-Furnished,0,0,1,39345313.21
2000,5,2,43,Suburbs,Unfurnished,1,0,0,11759863.74
661,4,1,41,Business District,Fully-Furnished,0,1,0,7577551.84
4797,4,2,35,Business District,Unfurnished,1,0,0,38247470.57
2481,1,1,49,Suburbs,Unfurnished,1,1,1,13702925.65
1495,5,2,44,Uptown,Semi-Furnished,1,0,0,12252026.61
3842,3,4,12,Rural,Unfurnished,0,0,0,14666101.04
4298,3,2,45,Downtown,Semi-Furnished,1,0,1,38812884.96
1775,2,1,17,Downtown,Semi-Furnished,1,0,0,16511225.94
1516,5,2,32,Downtown,Unfurnished,0,1,0,15195217.24
837,1,2,20,Suburbs,Unfurnished,1,0,1,6096494.95
1378,3,3,15,Suburbs,Semi-Furnished,1,1,0,9776067.81
1576,5,3,14,Uptown,Semi-Furnished,1,0,1,15652549.26
4493,5,2,4,Downtown,Unfurnished,1,0,0,39870191.65
879,4,2,5,Uptown,Semi-Furnished,1,0,0,8871955.94
992,2,1,37,Downtown,Semi-Furnished,1,1,0,10457686.22
2562,2,3,2,Suburbs,Fully-Furnished,1,0,1,17670673.4
4384,5,2,47,Rural,Fully-Furnished,0,0,0,17504366.03
564,4,1,11,Rural,Fully-Furnished,1,0,0,4812960.4
3068,5,3,35,Rural,Fully-Furnished,0,0,0,14217169.91
2527,4,2,32,Rural,Fully-Furnished,0,0,0,10582441.76
3195,4,2,35,Business District,Semi-Furnished,1,0,1,28271470.98
1995,5,3,32,Downtown,Semi-Furnished,1,0,1,20601919.0
891,3,2,30,Rural,Fully-Furnished,0,0,1,4870713.45
4974,5,3,20,Business District,Unfurnished,1,0,0,40526936.26
4061,4,2,26,Business District,Fully-Furnished,1,0,0,37199748.5
2778,1,2,26,Business District,Unfurnished,1,0,1,22683459.47
3599,3,4,7,Uptown,Semi-Furnished,0,0,1,28461615.96
700,4,3,36,Uptown,Unfurnished,1,0,0,6850713.23
